NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 280 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.49, major to minor axis ratio is 1.87, bounding box occupancy is 0.52, spread on XZ axes is 156.52, height-to-standing ratio is 0.40, body height is 745.2 mm, distance from floor is 610.0 mm, and floor contact ratio is 0.0000."
"In frame 281 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.27, bounding box occupancy is 0.49, spread on XZ axes is 309.24, height-to-standing ratio is 0.45, body height is 828.6 mm, distance from floor is 629.7 mm, and floor contact ratio is 0.0000."
"In frame 282 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.29, bounding box occupancy is 0.48, spread on XZ axes is 309.27, height-to-standing ratio is 0.45, body height is 832.7 mm, distance from floor is 627.2 mm, and floor contact ratio is 0.0000."
"In frame 283 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.30, bounding box occupancy is 0.48, spread on XZ axes is 307.14, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 625.2 mm, and floor contact ratio is 0.0000."
"In frame 284 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 306.91, height-to-standing ratio is 0.45, body height is 832.7 mm, distance from floor is 623.1 mm, and floor contact ratio is 0.0000."
"In frame 285 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.50, major to minor axis ratio is 1.88, bounding box occupancy is 0.44, spread on XZ axes is 162.38, height-to-standing ratio is 0.39, body height is 725.9 mm, distance from floor is 600.1 mm, and floor contact ratio is 0.0000."
"In frame 286 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 300.94, height-to-standing ratio is 0.44, body height is 815.3 mm, distance from floor is 620.5 mm, and floor contact ratio is 0.0000."
"In frame 287 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 300.77, height-to-standing ratio is 0.45, body height is 826.6 mm, distance from floor is 620.1 mm, and floor contact ratio is 0.0000."
"In frame 288 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.33, bounding box occupancy is 0.47, spread on XZ axes is 301.57, height-to-standing ratio is 0.45, body height is 823.4 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 289 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.33, bounding box occupancy is 0.47, spread on XZ axes is 301.87, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 620.5 mm, and floor contact ratio is 0.0000."
"In frame 290 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.33, bounding box occupancy is 0.48, spread on XZ axes is 302.43, height-to-standing ratio is 0.45, body height is 822.1 mm, distance from floor is 620.0 mm, and floor contact ratio is 0.0000."
"In frame 291 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.33, bounding box occupancy is 0.47, spread on XZ axes is 302.33, height-to-standing ratio is 0.45, body height is 827.3 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 292 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 302.23, height-to-standing ratio is 0.45, body height is 832.7 mm, distance from floor is 620.4 mm, and floor contact ratio is 0.0000."
"In frame 293 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 301.93, height-to-standing ratio is 0.45, body height is 828.1 mm, distance from floor is 619.9 mm, and floor contact ratio is 0.0000."
"In frame 294 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.46, spread on XZ axes is 302.08, height-to-standing ratio is 0.45, body height is 823.4 mm, distance from floor is 619.8 mm, and floor contact ratio is 0.0000."
"In frame 295 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 302.04, height-to-standing ratio is 0.45, body height is 828.0 mm, distance from floor is 619.8 mm, and floor contact ratio is 0.0000."
"In frame 296 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 301.38, height-to-standing ratio is 0.45, body height is 823.4 mm, distance from floor is 620.0 mm, and floor contact ratio is 0.0000."
"In frame 297 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 300.61, height-to-standing ratio is 0.45, body height is 819.1 mm, distance from floor is 620.5 mm, and floor contact ratio is 0.0000."
"In frame 298 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 300.08, height-to-standing ratio is 0.45, body height is 820.5 mm, distance from floor is 619.7 mm, and floor contact ratio is 0.0000."
"In frame 299 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 301.20, height-to-standing ratio is 0.45, body height is 823.9 mm, distance from floor is 619.7 mm, and floor contact ratio is 0.0000."
"In frame 300 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 299.61, height-to-standing ratio is 0.45, body height is 825.1 mm, distance from floor is 620.5 mm, and floor contact ratio is 0.0000."
"In frame 301 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 298.92, height-to-standing ratio is 0.45, body height is 819.4 mm, distance from floor is 619.8 mm, and floor contact ratio is 0.0000."
"In frame 302 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 298.56, height-to-standing ratio is 0.45, body height is 825.1 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 303 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 299.83, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 304 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 299.80, height-to-standing ratio is 0.45, body height is 834.9 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 305 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.46, spread on XZ axes is 299.06, height-to-standing ratio is 0.45, body height is 825.6 mm, distance from floor is 620.3 mm, and floor contact ratio is 0.0000."
"In frame 306 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.30, bounding box occupancy is 0.47, spread on XZ axes is 299.41, height-to-standing ratio is 0.45, body height is 819.7 mm, distance from floor is 620.4 mm, and floor contact ratio is 0.0000."
"In frame 307 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.71, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 298.36, height-to-standing ratio is 0.45, body height is 821.9 mm, distance from floor is 619.4 mm, and floor contact ratio is 0.0000."
"In frame 308 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.30, bounding box occupancy is 0.47, spread on XZ axes is 299.26, height-to-standing ratio is 0.45, body height is 824.4 mm, distance from floor is 620.0 mm, and floor contact ratio is 0.0000."
"In frame 309 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 299.50, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 620.2 mm, and floor contact ratio is 0.0000."
"In frame 310 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 299.51, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 619.8 mm, and floor contact ratio is 0.0000."
"In frame 311 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 301.11, height-to-standing ratio is 0.45, body height is 829.3 mm, distance from floor is 620.7 mm, and floor contact ratio is 0.0000."
"In frame 312 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 300.42, height-to-standing ratio is 0.45, body height is 833.0 mm, distance from floor is 619.7 mm, and floor contact ratio is 0.0000."
"In frame 313 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 300.79, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 619.7 mm, and floor contact ratio is 0.0000."
"In frame 314 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 301.98, height-to-standing ratio is 0.45, body height is 824.1 mm, distance from floor is 619.8 mm, and floor contact ratio is 0.0000."
"In frame 315 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.31, bounding box occupancy is 0.47, spread on XZ axes is 301.07, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 619.5 mm, and floor contact ratio is 0.0000."
"In frame 316 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.46, spread on XZ axes is 301.01, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 619.7 mm, and floor contact ratio is 0.0000."
"In frame 317 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.32, bounding box occupancy is 0.47, spread on XZ axes is 300.76, height-to-standing ratio is 0.45, body height is 828.3 mm, distance from floor is 619.6 mm, and floor contact ratio is 0.0000."
"In frame 318 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.73, major to minor axis ratio is 1.32, bounding box occupancy is 0.46, spread on XZ axes is 302.68, height-to-standing ratio is 0.45, body height is 826.9 mm, distance from floor is 619.4 mm, and floor contact ratio is 0.0000."
"In frame 319 of sequence 'adl-37', the person is Fall. The body height to width ratio is 0.72, major to minor axis ratio is 1.31, bounding box occupancy is 0.46, spread on XZ axes is 300.94, height-to-standing ratio is 0.44, body height is 815.3 mm, distance from floor is 619.6 mm, and floor contact ratio is 0.0000."
